is_canceled,lead_time,arrival_date_month,country,market_segment,distribution_channel,is_repeated_guest,booking_changes,agent,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests,hotel_City Hotel,hotel_Resort Hotel,meal_BB,meal_FB,meal_HB,meal_SC,meal_Undefined,deposit_type_No Deposit,deposit_type_Non Refund,deposit_type_Refundable,customer_type_Contract,customer_type_Group,customer_type_Transient,customer_type_Transient-Party,total_guests,total_stays,room_changed,had_prev_cancellations
0,7,7,1,1,1,0,0,0.0,0,75.0,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,1.0,1,1,0
0,13,7,1,2,2,0,0,304.0,0,75.0,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,1.0,1,0,0
0,14,7,1,3,3,0,0,240.0,0,98.0,0,1,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,2,0,0
0,0,7,2,1,1,0,0,0.0,0,107.0,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,2,0,0
0,9,7,2,1,1,0,0,303.0,0,103.0,0,1,False,True,False,True,False,False,False,True,False,False,False,False,True,False,2.0,2,0,0
1,85,7,2,3,3,0,0,240.0,0,82.0,0,1,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,3,0,0
1,75,7,2,4,3,0,0,15.0,0,105.5,0,0,False,True,False,False,True,False,False,True,False,False,False,False,True,False,2.0,3,0,0
1,23,7,2,3,3,0,0,240.0,0,123.0,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,4,0,0
0,35,7,2,3,3,0,0,240.0,0,145.0,0,0,False,True,False,False,True,False,False,True,False,False,False,False,True,False,2.0,4,0,0
0,68,7,3,3,3,0,0,240.0,0,97.0,0,3,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,4,1,0
0,18,7,4,3,3,0,1,241.0,0,154.77,0,1,False,True,False,False,True,False,False,True,False,False,False,False,True,False,3.0,4,0,0
0,37,7,2,3,3,0,0,241.0,0,94.71,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,4,0,0
0,68,7,5,3,3,0,0,240.0,0,97.0,0,3,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,4,1,0
0,37,7,2,4,3,0,0,8.0,0,97.5,0,0,False,True,True,False,False,False,False,True,False,False,True,False,False,False,2.0,4,0,0
0,12,7,5,3,3,0,0,240.0,0,88.2,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,1,1,0
0,0,7,6,2,2,0,0,0.0,0,107.42,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,1,1,0
0,7,7,1,1,1,0,0,250.0,0,153.0,0,1,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,4,0,0
0,37,7,1,3,3,0,0,241.0,0,97.29,0,1,False,True,True,False,False,False,False,True,False,False,False,False,True,False,1.0,5,0,0
0,72,7,2,1,1,0,1,250.0,0,84.67,0,1,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,6,0,0
0,72,7,2,1,1,0,1,250.0,0,99.67,0,1,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,6,0,0
0,127,7,1,4,3,0,0,115.0,0,94.95,0,1,False,True,False,False,True,False,False,True,False,False,True,False,False,False,2.0,7,1,0
0,78,7,2,4,3,0,0,5.0,0,63.6,1,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,7,0,0
0,48,7,5,4,3,0,0,8.0,0,79.5,0,0,False,True,True,False,False,False,False,True,False,False,True,False,False,False,2.0,7,0,0
1,60,7,2,3,3,0,0,240.0,0,107.0,0,2,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,7,0,0
0,77,7,2,3,3,0,0,240.0,0,94.0,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,7,0,0
0,99,7,2,3,3,0,0,240.0,0,87.3,1,1,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,7,0,0
0,118,7,2,1,1,0,2,0.0,0,62.0,0,2,False,True,True,False,False,False,False,True,False,False,False,False,True,False,1.0,14,0,0
0,95,7,1,4,3,0,0,241.0,0,63.86,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,15,0,0
1,96,7,2,1,1,0,0,0.0,0,108.3,0,2,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,10,0,0
0,69,7,5,4,3,0,0,175.0,0,65.5,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,6,1,0
1,45,7,2,3,3,0,0,241.0,0,108.8,0,1,False,True,True,False,False,False,False,True,False,False,False,False,True,False,3.0,4,0,0
1,40,7,2,3,3,0,0,241.0,0,108.8,0,1,False,True,True,False,False,False,False,True,False,False,False,False,True,False,3.0,4,0,0
0,15,7,4,3,3,0,0,240.0,0,98.0,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,4,1,0
0,36,7,2,3,3,0,0,241.0,0,108.8,0,1,False,True,True,False,False,False,False,True,False,False,False,False,True,False,3.0,4,0,0
1,43,7,2,3,3,0,0,241.0,0,108.8,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,3.0,4,0,0
0,70,7,3,1,1,0,0,250.0,0,137.0,0,1,False,True,False,False,True,False,False,True,False,False,False,False,True,False,2.0,5,0,0
1,45,7,2,3,3,0,0,241.0,0,117.81,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,5,0,0
0,45,7,5,4,3,0,0,8.0,0,79.5,0,0,False,True,True,False,False,False,False,True,False,False,True,False,False,False,2.0,5,0,0
0,16,7,4,1,1,0,0,0.0,0,123.0,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,5,0,0
0,107,7,2,3,3,0,0,240.0,0,110.7,0,2,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,7,0,0
1,47,7,2,3,3,0,0,240.0,0,153.0,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,4.0,7,0,0
0,96,7,4,4,3,0,0,134.0,0,58.95,0,1,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,7,0,0
0,113,7,3,4,3,0,0,156.0,0,82.88,0,2,False,True,True,False,False,False,False,True,False,False,False,False,False,True,2.0,7,0,0
0,90,7,1,4,3,0,1,243.0,0,82.35,0,0,False,True,False,False,True,False,False,True,False,False,True,False,False,False,2.0,7,1,0
0,50,7,5,3,3,0,1,241.0,0,119.35,0,1,False,True,False,False,True,False,False,True,False,False,False,False,True,False,2.0,7,1,0
0,113,7,3,4,3,0,0,156.0,0,67.58,0,2,False,True,True,False,False,False,False,True,False,False,False,False,False,True,2.0,7,0,0
0,93,7,5,4,3,0,0,156.0,0,56.01,0,0,False,True,True,False,False,False,False,True,False,False,True,False,False,False,2.0,11,0,0
0,76,7,3,4,3,0,0,243.0,0,110.7,0,0,False,True,True,False,False,False,False,True,False,False,True,False,False,False,2.0,14,0,0
0,3,7,4,3,3,0,0,240.0,0,88.2,1,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,1,1,0
0,1,7,3,3,3,0,0,240.0,0,147.0,1,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,1,0,0
0,1,7,4,1,1,0,0,0.0,0,107.0,1,2,False,True,True,False,False,False,False,True,False,False,False,False,True,False,4.0,1,0,0
0,0,7,2,1,1,0,0,0.0,0,147.0,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,1,0,0
0,0,7,2,3,3,0,0,240.0,0,117.9,0,2,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,1,1,0
0,0,7,2,1,1,0,0,0.0,0,123.0,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,1,0,0
0,14,7,3,3,3,0,0,242.0,0,98.0,0,1,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,2,1,0
0,10,7,2,3,3,0,0,241.0,0,117.81,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,2,0,0
0,5,7,5,3,3,0,0,240.0,0,135.0,1,2,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,2,0,0
0,17,7,4,1,1,0,0,250.0,0,133.0,0,1,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,3,0,0
0,93,7,5,4,3,0,0,115.0,0,58.95,0,0,False,True,True,False,False,False,False,True,False,False,True,False,False,False,2.0,3,1,0
1,3,7,2,3,3,0,0,240.0,0,136.33,0,2,False,True,False,False,True,False,False,True,False,False,False,False,True,False,2.0,3,0,0
0,10,7,3,3,3,0,0,240.0,0,153.0,1,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,4.0,2,1,0
0,3,7,4,3,3,0,0,240.0,0,110.5,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,2,1,0
0,51,7,3,3,3,0,0,242.0,0,97.0,0,0,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,2,0,0
1,71,7,2,4,3,0,0,242.0,0,110.3,0,2,False,True,True,False,False,False,False,True,False,False,False,False,True,False,3.0,2,0,0
1,63,7,2,3,3,0,0,240.0,0,82.0,0,2,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,2,0,0
1,62,7,2,3,3,0,0,240.0,0,97.0,0,1,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,2,0,0
1,101,7,2,3,3,0,0,240.0,0,73.8,0,1,False,True,True,False,False,False,False,True,False,False,False,False,True,False,2.0,2,0,0
